和名,学名,分布,深さ,体長,description
クサリミノウミウシ,Limenandra rosanae,西太平洋、中部太平洋,7m,16~50mm,体は白みや黄白色を帯びた半透明で、背面を除き全体が黒褐色の細点で覆われる。背面全長にわたり白色の斑紋が連続して並ぶ。背側突起は灰黄色で黒褐色の細点で覆われ、まれにトゲミノウミウシのような突起を生じる個体がある。ジャノメミノウミウシは異名。50mmに達する。
トゲミノウミウシ,Limenandra confusa,西太平洋、中部太平洋,6m,10~8mm,体は褐色を帯びた半透明で、背面正中線上には白色の円斑が並ぶ。この円斑は内側から紫色、黄色の輪で囲まれる。背側突起群は長短交互に並ぶ。各背側突起は棘状の小突起を生じており、先端は透明で尖る。触角の後面には多数の小突起がある。体を前後に揺するように移動する。8mmに達する。
ホソエラワグシウミウシ,Limenandra fusiformis,インド-西太平洋,12m,12~20mm,体は灰褐色で不明瞭な白色の小斑紋に覆われる。背面の正中線上には、白色の眼紋が背側突起の間隔に対応するように並ぶ。背側突起は平滑で第3斜列以降、大小が交互に並ぶ。触角の後面には多数の小突起を生じる。20mmに達する。
カスミミノウミウシ,Cerberilla asamusiensis,日本、インドネシア,10m,30~35mm,体は白みを帯びた半透明で、頭部から背面にはわずかに褐色がかる。背側突起は透明で先端が白色、その直下に三角形の黒色斑紋がある。突起内の消化腺は黄色で目立つ。触角は黒褐色。口触手は長大で青みを帯び、先端は黒褐色。35mmに達する。
リュウキュウカスミミノウミウシ,Cerberilla affinis,インド-太平洋,6m,45~90mm,体は灰白色。頭部の触角周囲にはマスクのような黒褐色の斑紋がある。背側突起は白色で中ほどに黒色の輪があり、先端は黄色。触角と口触手は黒褐色と青色の色帯がある。ハナギンチャク類を摂食する。90mmに達する。
マエダカスミミノウミウシ,Cerberilla annulata,インド-太平洋,5m,40~70mm,体は青白い半透明。頭部の触角基部と眼域の周囲にマスクのような斑紋がある。背側突起には中ほどに黒色の輪があり、その上部に黄色の輪がある。触角と口触手は白色で先端が灰青色を帯びる。夜行性。70mmに達する。
ハンミョウカスミミノウミウシ,Cerberilla albopunctata,日本、インドネシア,8m,25~40mm,体は黒褐色で、触角や背側突起を含む全体が白色細点で覆われる。背側突起は黄色の斑紋があり、先端直下は灰青色。口触手は先端から黒褐色、白黄色、青色の色帯がある。40mmに達する。
アンボンカスミミノウミウシ,Cerberilla ambonensis,西太平洋,23m,12~50mm,体は白色で、腹足には黒褐色の横線が並ぶ。背側突起は黒色で黄色の斑紋があり、先端は灰青色。口触手は青色と黄色の色帯があるが、明瞭でない個体も見られる。50mmに達する。
ニッポンカスミミノウミウシ,Cerberilla longibranchus,本州、四国,4m,20~20mm,体は白みを帯びた半透明。腹足は幅広く、周縁は白色細線で縁取られる。背側突起は後部のものほど長く、先端は白色でその直下は褐色を帯びる。突起内の消化腺は淡褐色。背面正中線上に白色の断続する縦線があるが、これを欠くこともある。左右の口触手の上面には白色線があり、頭部で繋がる。過去の本ではカスミミノウミウシ属の1種とされていた場合もある。20mmに達する。
ナミダカスミミノウミウシ,Cerberilla incola,西太平洋,7m,8~10mm,体は白みを帯びた半透明で、頭部はわずかに黒褐色を帯びる。腹足縁は白色。背側突起には2本の褐色縦線がある。背面後部に暗褐色を帯びる背側突起群がある。触角は淡褐色で先端が白色。千葉大学の標本に基づき、触角基部から前方に伸びる斑紋に因んだ新称ナミダカスミミノウミウシを提唱する。10mmに達する。
キホシミノウミウシ,Cerberilla sp.1,本州から南西諸島,8m,13~15mm,体は白色。背側突起は白色で先端よりやや下部に橙色点がある。触角は橙色から褐色。口触手は橙色を帯びた半透明で基部の内側に黄色斑がある。全体に赤みが淡く、橙色点が黄色に、触角が暗褐色になる個体も見られる。15mmに達する。キホシカスミミノウミウシは異名。
ケイウミノウミウシ,Cerberilla sp.2,日本、フィリピン,8m,35~70mm,体は白色で、腹足は黄色みを帯び腹足縁は青色。背側突起は白色で中ほどに黄色斑紋があり、先端は濃紺色。触角は濃紺色で中ほどに淡色の輪がある。触角の前後に橙色の斑紋がある。口触手は二つの濃紺色の色帯がある。前足隅の先端は濃紺色。70mmに達する。ケイウカスミミノウミウシは異名。
サクラカスミミノウミウシ,Cerberilla sp.3,日本,23m,14~14mm,体は白色で、腹足縁は黄白色で縁取られる。前足隅は黄白色。背面と背側突起は白色。触角と口触手は本属他種に比して小さく、黄色みを帯びる。14mm。
ダテカスミミノウミウシ,Cerberilla sp.4,西太平洋,12m,40~40mm,体は黒色で背面正中線上には白色の色帯がある。腹足縁は水色で黄色で縁取られる。背側突起は黒色で上面全長に橙色線がある。触角は黒色で小さく、先端が黄色。頭部前縁から口触手基部には特徴的な橙色線がある。触角基部から前方に向かうハの字形の橙色線と灰色線がある。40mmに達する。
クロカスミミノウミウシ,Cerberilla sp.5,南西諸島,6m,5~10mm,体は白みを帯びた半透明で、頭部から背面は黒色。背側突起は黒褐色で中ほどに白色斑紋があるが欠くこともある。突起の先端は白色。触角は黒色で基部の眼域と先端が白色。口触手は体と同色で、白色の色帯が下半の上面を覆うが欠くこともある。砂底に生息し、危機を感じると砂中に潜行する。10mmに達する。
ボニンカスミミノウミウシ,Cerberilla sp.6,小笠原諸島,8m,30~30mm,体は白みを帯びた半透明で、頭部から背面は白色。背側突起は白色で先端が黒紫色のV字型に縁取られ、その直下に黄白色の斑紋がある。触角基部から左右前方に向かう黒紫色の色帯がある。口触手は黄白色。30mm。
トウモンミノウミウシ,Cerberilla sp.7,南西諸島,10m,14~15mm,体は白みを帯びた半透明。背側突起も体と同色から白色で、先端の下方に橙色点がある。体中央部と後端の突起が茶色を帯びる個体も見られる。触角は淡い赤褐色。キホシミノウミウシに似るが本種は触角前方に一対の小さな橙色斑紋がある。15mmに達する。千葉大学の標本に基づき、背側突起の橙色斑紋にちなんだ新称トウモンミノウミウシを提唱する。
クラゲハミミノウミウシ,Aeolidina sp.,慶良間諸島,20m,5~mm,体は背側突起も含め、わずかに褐色を帯びた半透明で、不明瞭な白色の小斑紋を散らす。頭部から背面には数個の白色斑紋が縦に並ぶ。背側突起内の消化腺は褐色で先端が濃色。触角後面の全長に褶葉がある。所属上科不明。千葉大学の標本に基づき、カタアシクラゲを摂食することに因み新称クラゲハミミノウミウシを提唱する。
ヒトエガイ,Umbraculum umbraculum,世界中の温・熱帯域,9m,120~280mm,体地色は黄色から橙色で体地色より明るい黄色から白色の丸いイボ状突起がある。貝殻は白色だが殻皮に覆われ、さらに海藻、石灰藻などがその上層を覆うことがある。触角は貝殻の直下にあり、細長く、その内側に眼が確認できる。カイメンを摂食すると考えられている。280mmに達する。
ヤマトジンガサヒトエガイ,Tylodina sp.,西太平洋,5m,10~20mm,陣笠状の貝殻には放射状の祈（放射肋）と年輪のような成長線があり、中央にはごく小さな幼殻が残る。体色は貝殻と同色で黄色のものが多いがときに白色を呈する個体が見られる。黄色のカイメンを摂食する。20mmに達する。
クダタマガイ,Adamnestia japonica,西太平洋,10m,3~30mm,殻は厚く光沢のある白色で、殻頂は窪む。軟体は白色。Cylichna 属にする研究者もいるが、ここではWoRMSに従った。Adamnestia の邦名はクダタマガイ属。黒田、波部（1971）による。殻長30mmに達する。
ツマベニクダタマガイ,Cylichna biplicata,西太平洋,33m,3~10mm,"殻は厚く白色で、上下端近くには明瞭な螺溝がある。上下端の赤褐色は殻皮の色彩。軟体は白色。Eocylichna braunsi（Yokoyama, 1920）はシノニム。殻長10mmに達する。"
コキザミコダマガイ,Roxania punctulata,西太平洋,40m,3~3.5mm,殻は厚く光沢のある白色で、全体に刻点状の螺溝がある。軟体は白色。Mimatys punctulata とする研究者もいるがここではBISMalに従った。殻長3.5mmに達する。
ハデヤママユガイ,Mnestia villica,インド-太平洋,12m,8~4mm,殻は白色で布目状模様があるが、変異に富む。軟体は半透明で白色と黒褐色の細点を散らす。殻長4mmに達する。
オオコメツブガイ,Acteocina coarctata,西太平洋,5m,4~10mm,殻は光沢のある白色で、微細な螺溝がある。内唇は褐色。軟体は白色。10m以浅の砂泥底で見られる。殻長10mmに達する。
ツムガタコメツブガイ,Acteocina fusiformis,西太平洋,7m,4~6.5mm,殻は淡黄白色で全面に微細な螺溝がある。ツララガイに似るが肩部が角ばらない。軟体は半透明で、目がかすかに視認できる。殻長6.5mmに達する。
カイコガイ,Aliculastrum cylindricum,インド-西太平洋,5m,10~30mm,貝殻は厚く光沢があり、上下端には白色線の螺溝がある。軟体部は白色で、緑色や緑褐色の色素が頭楯後端縁や側足縁に多く散布する。過去の本では別種が記載されていた場合もある。30mmに達する。
ヨワタマゴガイ,Aliculastrum debile,西太平洋、中部太平洋,8m,3~20mm,貝殻は白色や黄色を帯びた半透明で、上下端に螺溝がある。軟体部は白みを帯びた半透明で白色の細点を散布する。20mmに達する。
タマゴガイ,Atys naucum,インド-西太平洋,10m,20~40mm,"貝殻は白みを帯びた半透明で、全体に螺溝が入る。幼貝では褐色の縦縞が入り、成貝では失われる。頭楯後端は大きく2又し、先端は尖る。貝殻を通して見える赤褐色の斑紋は欠くこともある。極めて近似したAtys kuhnsi Pilsbry, 1917との関係は今後精査する必要がある。40mmに達する。"
アミメタマゴガイ,Atys multistriatus,インド-西太平洋,8m,8~8mm,貝殻は白みを帯びた半透明で、貝殻を通して赤褐色の細点が視認できる。軟体部の頭楯、腹足前部には白色や黒褐色の色素が斑紋をなす。夜行性。殻長8mmに達する。
ウクレレタマゴガイ,Atys ukulele,西太平洋、中部太平洋,5m,4~5.4mm,貝殻は白みを帯びた半透明で、上下のすぼまった樽型。全体に螺溝があるが中央部で不明瞭になることがある。貝殻を通して黄色の斑紋が視認できる。軟体部は白みを帯びた半透明で、白色の細点が側足や頭楯中央に集中する。赤紫色の細点は多寡があり、ほぼ欠くことも多い。殻長5.4mmに達する。
コクテンタマゴガイ,Atys semistriatus,インド-太平洋,6m,5~6mm,貝殻は白みを帯びた半透明で、上下端には螺溝がある。貝殻を通して多数の褐色の斑紋が視認できる。軟体部は白みを帯びた半透明で、頭楯には黒褐色細点を散布する。昼行性。本種の和名はホソタマゴガイのジュニア・シノニムの可能性がある。殻長6mmに達する。
ブドウガイ,Haminoea japonica,インド-太平洋、大西洋,2m,11~20mm,貝殻は白みや黄色みを帯びた半透明で、貝殻を通して外套膜上の黒褐色や橙色、白色の細点が視認できる。頭楯と側足は緑褐色を帯び、斑紋は外套膜と同様。殻長20mmに達する。
ミガキブドウガイ,Haminoea cymbalum,インド-太平洋,6m,18~10mm,貝殻は卵形でほぼ透明。軟体部は緑色から緑白色で、橙色の小円斑を散布する。貝殻内側の外套膜上には白色で縁取られた淡黄色の斑紋がある。この斑紋の位置や形には一定の規則性がある。本種やブドウガイをHaloa ブドウガイ属とする研究者もいる。殻長10mmに達する。
キホシミガキブドウガイ,Haminoea ovalis,西太平洋、中部太平洋、東太平洋,10m,5~10mm,貝殻はほぼ透明で、内側の外套膜の色彩がそのまま見える。軟体部は緑色を帯びた半透明で、橙色斑紋を全体に散布する。この橙色斑紋の一部は白色斑紋に囲まれる。暗紫色の斑紋が体の一部に散在するが、これを欠くことも多い。全長10mmに達する。
マダマブドウガイ,Haminoea margaritoides,西太平洋,12m,8~11mm,貝殻は白みを帯びた半透明で、光沢が強い。軟体部は淡い緑褐色あるいは白みを帯びた半透明で、白色と暗緑色の細点を散布する。一見キバカイコガイに似るが、眼は小さく両眼間が広い。また両眼間の褐色線を欠く。貝殻部は軸唇の突起を欠く。殻長11mmに達する。
ハミノエア・ナタレンシス,Haminoea natalensis,インド-太平洋,1m,10~15mm,貝殻はほぼ透明で外套膜の斑紋が視認できる。軟体部は緑色を帯びた半透明で、白色細点や黒色点、まだら状の褐色斑紋が散布する。3mまでのごく浅所で見られる。全長15mmに達する。
トウマキカイコガイダマシ,Liloa mongii,インド-太平洋,7m,8~17mm,貝殻は白みを帯びた半透明で細長く、全体に螺溝がある。軟体部の全体に白色微細点の集合と赤褐色の細点が散在し、これらは貝殻を通して内側の外套膜にも見ることができる。殻長17mmに達する。
カイコガイダマシ,Liloa porcellana,西太平洋、中部太平洋,10m,13~20mm,貝殻は白みを帯びた半透明で全体に螺溝があるが、若齢時は中央部が不明瞭。軟体部は白みや褐色を帯びた半透明で、暗褐色や白色の斑紋が散布する。この斑紋は頭楯や側足だけではなく貝殻を通しても視認できる。20mmに達する。
キバカイコガイ,Diniatys dentifer,インド-太平洋,15m,7~7mm,貝殻の軸唇中央に歯のような突起がある。軟体部は緑色や褐色、白色の細点などが散布し、それぞれの量には変異がある。頭楯の正中線上に褐色の線状斑紋がある。近似のイッポンバカイコガイは貝殻の膨らみが弱いが、生体の肉眼での識別は困難。殻長7mmに達する。
チョウチョウミドリガイ,Phanerophthalmus luteus,西太平洋、中部太平洋,,30~50mm,体は全体に黄緑色から緑色で、白色の色素は無い。以前使用されていたP. smaragdinusはP.olivaceusのジュニア・シノニムで紅海産、頭楯に白色域がある。インド洋には近似のP.minikoiensisがいる。潮間帯の転石下に多い。50mmに達する。
コクテンチョウチョウミドリガイ,Phanerophthalmus perpallidus,インド-太平洋,6m,5~10mm,体は白みを帯びた半透明で、白色、褐色、黒色の細点が散布する。特に頭楯には白色細点が後ろ向きの矢印形に密集する。過去の本では別種が記載されていた場合もある。10mmに達する。
ナスコンチョウチョウミドリガイ,Phanerophthalmus anettae,西太平洋、中部太平洋,5m,5~20mm,体は白みを帯びた半透明で、紫色の細点が全体を密に覆う。頭楯後端は2叉し、先端は白色。ファネロフタルムス・プルプーラに似るが体は太く、やや短い。近似のP.albocollarisは紅海産。20mmに達する。
ファネロフタルムス・プルプーラ,Phanerophthalmus purpura,日本、フィリピン、インドネシア,15m,7~25mm,体は白みを帯びた半透明で、紫色の細点が全体を密に覆う。頭楯後端は2叉し、先端は白色。側足は正中線上で重なる。ナスコンチョウチョウミドリガイに似るが体は細く、やや長い。25mmに達する。
ファネロフタルムス・レンチギネス,Phanerophthalmus lentigines,インド-太平洋,10m,6~9mm,体は白みを帯びた半透明で、ほぼ全体が茶褐色の小斑点に覆われる。外套楯後部には貝殻が一部露出する。コクテンチョウチョウミドリガイに似るが頭楯の白色斑紋の輪郭は明瞭ではなく、体もやや短い。9mmに達する。
ファネロフタルムス・アルボトリアングラトゥス,Phanerophthalmus albotriangulatus,西太平洋,6m,10~6mm,体は緑褐色で、緑色の割合には変異がある。頭楯後端には白色細点が三角形に密集する。体後端にも白色細点の小さく密集する部分がある。眼の周囲の無色部分は大きい。八重山諸島以南で見られる。6mmに達する。
ミドリガイ,Smaragdinella calyculata,インド-西太平洋,0.5m,10~12mm,貝殻は露出し、緑色で殻口がタテジワミドリガイより広く、内唇にスプーン状のヒダをもつ。露出部の表面は石灰化により緑色に見えないことも多い。軟体部は緑色で全体に白色細点を散布する。頭楯は大きい。腹足も大きく、波打つ潮間帯での生息に適応している。殻長12mmに達する。
タテジワミドリガイ,Smaragdinella sieboldi,インド-西太平洋,1m,6~5mm,貝殻は光沢のある緑色。内唇にはミドリガイに見られるようなスプーン状のヒダはない。殻口上端部が殻頂から突出する。軟体部は暗緑色で全体に白色細点を散布する。体は太短く、頭楯は大きい。ミドリガイより小型。殻長5mm。
カミスジカイコガイダマシ,Cylichnatys angusta,西太平洋,23m,3~8.3mm,貝殻は白みを帯びた半透明で、光沢がある。全体に細い波状の螺溝があり、殻頂はわずかに窪む。貝殻の下の外套膜は黄褐色で、不定形の小さな暗褐色斑で覆われる。中央部には大きな暗褐色斑がある。頭楯は黄白色。殻長8.3mmに達する。
ホソタマゴガイ,Vellicolla ooformis,西太平洋,5m,6~13mm,貝殻は白みを帯びた半透明で、外套膜上の紫褐色の小斑紋が視認できる。貝殻の上下端近くにはそれぞれ15本ほどの螺溝がある。軟体部は白みを帯びた半透明で、黒褐色の微細点を散布する。本種はAtys semistriatusのジュニア・シノニムの可能性がある。殻長13mm。
ミドリタマゴガイ,Vellicolla muscarius,西太平洋,21m,8~5.8mm,貝殻は黄緑色を帯びた半透明で光沢がある。上下端近くに数本の螺溝がある。軟体部は茶褐色で、頭楯後部には白色細点が集まり斑紋をなす。貝殻を通して外套膜の白い花びら状小斑紋が多数見える。貝殻後端に軟体部の小突起が1本立ち上がる。過去の本ではカバゾラブドウガイとされていた場合もある。なお、属はWoRMSによるとLymnulatysから変更された。殻長5.8mmに達する。
オナガブドウガイ,Haminoeidae sp.1,西太平洋、中部太平洋,5m,13~4mm,体は白みを帯びた半透明で、貝殻はほぼ透明。外套膜には褐色のすじ状斑紋や白い花びら状の斑紋がある。個体によっては黒褐色の斑紋をもつものもいる。尾は大変長く殻長の3倍に及ぶ。砂地でクロボウズなどと混棲する。殻長4mm。
シリツノブドウガイ,Haminoeidae sp.2,南西諸島、フィリピン,7m,5~4mm,貝殻は白みを帯びた半透明。外套膜、頭楯には赤褐色線が不規則に散布する。全体が褐色や紫褐色を帯びることがある。貝殻後端の軟体部には白色の突起が並ぶ。藍藻上で見いだされる。殻長4mmに達する。
ソウシュンブドウガイ,Haminoeidae sp.3,南西諸島,,7~3.5mm,貝殻は透明で丸みを帯びる。殻の下の外套膜は暗緑色で、淡緑色の不定形な斑紋がある。頭楯と側足は暗緑色で白色細点を散らす。頭楯は幅があり、前縁は直線状。殻長3.5mm。
ナツメガイ,Bulla vernicosa,西太平洋、中部太平洋,10m,20~50mm,軟体部は橙色から暗橙色で白色細点を疎らに散らす。貝殻は赤褐色で白色小斑に覆われ、2、3本の不明瞭な暗色螺帯がある。殻長50mmに達する。
コナツメガイ,Bulla orientalis,インド-西太平洋,1m,20~30mm,軟体部は褐色で白色細点を散布している。貝殻は褐色で、細長い黒褐色の斑紋を伴った白色小斑に覆われる。ナツメガイよりも細長い。殻長30mmに達する。
スジナツメガイ,Hamineobulla kawamurai,西太平洋,3m,12~12mm,貝殻は褐色で多数の淡色の縦溝がある。また7～9本の淡色の螺列があるが、これは多寡があり、ほぼ欠く個体もいる。軟体は淡褐色で褐色のまだら模様がある。殻長12mmに達する。
ヘコミツララガイ,Retusa succincta,西太平洋,15m,5~4mm,貝殻は白色の円筒形で、細い半透明の螺帯を多数めぐらす。殻頂は浅く窪む。軟体部は白みを帯びた半透明で、頭楯には目が視認できる。なお、学名についてRetusa pumila は無効でCylichna pumila は別種。殻長4mmに達する。
シリブトカイコガイ,Pyrunculus phiala,西太平洋,17m,3~5mm,貝殻は細長く光沢のある白色で、殻頂部が細い。殻頂は開口している。上下端近くに縁溝がある。軟体部は白みの強い半透明。殻長5mmに達する。
アカキセワタ,Philine trapezia,インド-西太平洋,2m,8~10mm,"体は橙赤色から黄色。尾は2分岐するがひとつの筒のような形状になり、伸長しない。外套楯の右後部に暗色になる部分がある。Philine rubrata Gosliner, 1988はシノニムと考えられるが、いずれにしても本種の和名に問題はない。10mmに達する。"
モンガラキセワタ,Philine orca,インド-太平洋、東太平洋,11m,4~5mm,体は乳白色で白色の微細点が散布し、大きな黒褐色の斑紋がある。この黒褐色の斑紋はおおむね位置と形状が一定で、細点に分かれることもある。種小名のorcaはシャチと斑紋色彩が似ていることからつけられた。シャチはOrcinus orca。5mmに達する。
キセワタガイ,Philine orientalis,西太平洋,11m,16~60mm,体は全体に白みを帯びた半透明から一様な灰白色。側足が横に広がるため全体に丸く見える。貝殻は全面に刻点状の螺溝がある。本種の和名については問題がないが、学名については近年、近似種の新記載もあり、原記載の記述が不完全である本種については精査する必要がある。60mmに達する。
クロダキセワタ,Philine kurodai,日本、南シナ海,50m,37~20mm,体は黄白色。キセワタガイに似るがより大型で、殻長は20mmに達する。貝殻の縫溝は上端近くにのみ5～6本ある。本種と近似種について現時点では貝殻の情報から同定するのが正確であるが、海外産も含めた精査が必要。
アカヘリキセワタ,Philine sp.1,伊豆半島,6m,17~18mm,体は白色で側足、頭楯後縁は赤紫色で縁取られる。両尾端は赤紫色に染まる。本種属について本邦では貝殻のみの情報での記述が多く、軟体部の写真記録からの和名提唱は危険である。今後、軟体部と貝殻を一致させる作業が必要。18mmに達する。
ピットマンキセワタ,Philine sp.2,伊豆半島,7m,6~7mm,体は黄白色を帯びた半透明で、全体に白色細点と不定形の白色小斑紋で覆われる。頭楯は長い。P.pittmaniに似るが頭楯と外套楯の長さの比が小さく、白色斑紋が全体に一様に散布している。また、P.pittmaniでは外套楯内の褐色の殻が視認できる。7mm。
ノアルダガイ,Noalda sp.1,インド-西太平洋,12m,7~7mm,体は白色で頭楯の内側に眼がある。外套楯の上部に開口部があり、内側の貝殻が見える。尾は二叉し、左側が大きく、左右共に尖らない。死サンゴ礁上でごくまれに見られる。7mmに達する。
ムラサキノアルダガイ,Noalda sp.2,西太平洋,28m,15~60mm,体は薄い赤紫色で、頭楯や側足、二叉した尾、外套楯上部の開口部は濃紫色で縁取られる。頭楯の後端は高く立ち上がり、内側には目が明瞭に見える。外套楯の開口部からは貝殻が見える。60mmに達する。
シロフチノアルダ,Noalda sp.3,慶良間諸島、フィリピン,28m,12~12mm,体色は茶褐色から黒褐色。頭楯縁、側足縁、外套楯上部の開口部、尾の縁は白色線で縁取られる。外套楯の上部開口部からは内在する貝殻が見える。頭楯の内側には目があり、その周囲は色素を欠く。CASの標本に基づき、特徴的な白い縁から新称シロフチノアルダを提唱する。12mmに達する。
エンビノアルダガイ,Noalda sp.,西太平洋,6m,3~4mm,体は白色。外套楯の上部開口部から見える貝殻には、太い黒褐色線とごく細い褐色線、それらの間の淡褐色の帯が視認できる。尾は二叉し、長い。頭楯は小さく、内側に眼が視認できる。4mmに達する。
エンビキセワタ,Odontoglaja guamensis,西太平洋,8m,10~15mm,体は白色で、緑褐色の大きな斑紋や細点、ピンクの円斑がほぼ左右対称に配置する。たいへん個体数の多い普通種。15mmに達する。
ヒシモンエンビキセワタ,Odontoglaja sp.,西太平洋、中部太平洋,5m,8~10mm,体は赤褐色で、乳白色の大きな斑紋、青色の円斑がほぼ左右対称に配列する。乳白色の斑紋上には赤褐色の微細点が散布する。エンビキセワタとの関係は精査する必要がある、とされる。エンビキセワタの個体数に比べたいへん少ないが稀種ではない。サンゴ礁の岩礁上で見る。10mmに達する。
カンムリキセワタ,Niparaya regiscorona,インド-太平洋、東太平洋,7m,3~5mm,体は淡褐色を帯びた白色。体表には小突起が散在する。頭楯の前縁、腹足縁には黒色細点が並ぶ。頭楯の後端は伸長し、立ち上がることが多い。5mmに達する。
ホカケキセワタ,Niparaya sp.1,日本、インドネシア,5m,3~5mm,体は白色で、頭楯縁の裏面に褐色の斑紋がある。頭楯前縁と側足縁には黒褐色の細点を散らす。頭楯と外套楯には黒褐色の微細点で覆われる。頭楯後端は立ち上がる。5mmに達する。
キホシキセワタ,Niparaya sp.2,日本、パプアニューギニア,6m,3~7mm,体は褐色を帯びた白色で細長く、全体に白色と黒褐色の細点が散布する。体表には小突起が散在する。頭楯前縁や側足縁には黄色の小斑紋が並ぶ。7mmに達する。
チャーシューキセワタ,Niparaya sp.3,三浦半島以南、南西諸島,15m,6~mm,体は淡褐色から黒褐色。全体に多くの白色横線で覆われ、小さく突起した黄白色の細点を散布する。体はやや長い。頭楯後端、尾端は黄白色。小野（2004）のAglajidae sp.9 は本種。千葉大の標本に基づき、糸を巻いたチャーシューを思わせる形態から新称チャーシューキセワタを提唱する。
ウズマキキセワタ,Nakamigawaia spiralis,日本,8m,23~35mm,"体は黒紫色でやや幅がある。側足の内側は白っぽい。内在する貝殻は巻いており、軟体部25mmの個体で直径は5mm。尾は左右同大。本写真個体は馬場（1961）のFig.2によく似る。ヤミヨキセワタ原記載M.fukudai S.Cooke et al.,2014のFig.3にも似るが本種は頭部先端の幅が狭いようである。なお 前記のS.cooke et al.には別属のためヤミヨキセワタと本種との比較の記述がない。35mmに達する。"
クロボウズ,Nakamigawaia sp.,西太平洋,7m,10~15mm,体は一様に黒色であるが、白色や灰青色の細点を散布する個体も多い。体は細長く、頭楯も長い。外套楯後端の「尾」は扁平な葉状で左側が大きい。本種をウズマキキセワタ N. spiralis とする研究者もいるが尾の形状などの形態はもとよりサイズも大きく異なる。本種属については再検討の必要がある。15mmに達する。
カラスキセワタ,Philinopsis speciosa,インド-太平洋、東太平洋,1m,30~35mm,体は白色や褐色、黒色など変異に富み、黄色や青色の斑紋があるがこれらを欠くこともある。体形は俯瞰するとおおむね長方形。頭楯には前縁から後縁にいたる橙黄色線が2本ある。側足は青色で縁取られることが多い。尾は短く先は丸い。白い砂地の小型個体ではほぼ透明のものも見られる。35mmに達する。
カノコキセワタ,Philinopsis gigliolii,西太平洋北部,7m,32~50mm,体は褐色から黒褐色で、全体が白色の小斑紋で覆われる。頭楯の正中線上に白色縦線がある。カラスキセワタに見られる2本の黄色縦線は、本種では頭楯前部の二つの黄色斑紋にとどまる。カラスキセワタとの関係は精査が望まれる。50mmに達する。
クリイロキセワタ,Philinopsis ctenophoraphaga,西太平洋,7m,15~20mm,体は白みを帯びた半透明で、白色細点とピンクから海老茶色の斑紋が全体を覆う。本写真個体では白色細点の周囲は無色であるが原記載では全体が海老茶色。頭楯後端は伸長し、立ち上がる。20mmに達する。
オノアルキセワタ,Philinopsis buntot,日本、フィリピン,24m,6~30mm,体は白みを帯びた半透明で、褐色の不規則な斑紋が全体を覆う。黄色の小斑紋が全体にあるが頭楯縁や側足縁に多い。外套楯後端に伸長した突起がある。30mmに達する。
オハグロツバメガイ,Mariaglaja inornata,西太平洋、中部太平洋,10m,30~40mm,体は黒色で頭楯前縁に白色帯があり、その両端に橙色斑がある。この橙色斑の内側に一対の小さな青い斑紋をもつことが多い。側足は白色細点で覆われる。本種は個体変異が多く、体全体を橙赤色の斑紋が覆ったり、側足の白色細点を欠く個体も見られる。一つの分類形質に頼らず、複数を組み合わせる必要がある。40mmに達する。
アカオビツバメガイ,Mariaglaja mandroroa,インド-西太平洋,5m,30~30mm,体は黒色で、全体に黄色で縁取られた赤褐色の斑紋が数本入り、横縞をなす。先島諸島以南で観察されている。30mmに達する。
ミョウジンツバメガイ,Mariaglaja tsurugensis,インド-西太平洋,5m,10~20mm,体は黒色。変異は多く、全体に橙色の小円斑や白色の斑紋が入ることも多いが、これらを全く欠くこともある。頭楯前縁は半透明で短いひげ状の感覚器が密生し、目が視認できる。ヒョウモンツバメガイは異名。20mmに達するとされる。
オオクロネズミ,Mariaglaja sp.,駿河湾以南、西太平洋,7m,20~20mm,体は一様に黒色で斑紋はない。ミョウジンツバメガイと混生するが体長は2倍ほどで頭部前縁の無色部を欠き目を視認できない。頭部前縁には半透明でひげ状の感覚器が密生する。20mmに達する。
アカボシツバメガイ,Biuve fulvipunctata,インド-太平洋,5m,20~30mm,体は褐色から黒色で、通常は白色細点を密に散布する。橙色の小斑紋を全体に撒布することもある。頭楯前縁に白色のW字型の斑紋があり、両端には橙色紋がある。頭楯後端はわずかに白色になる。色彩変異が多いので、複数の分類形質を組み合わせることが必要。過去の本では本種の若齢個体がガーネットツバメガイとされていた場合もある。30mmに達する。
トウヨウキセワタ,Spinoaglaja orientalis,インド-西太平洋,5m,20~30mm,体は黄褐色から黒色。全体に白色細点を散布する。頭楯、側足の前方と後方に淡色域があり、その中央に橙黄色の斑紋がある。30mmに達する。
ミドリキセワタ,Spinoaglaja sp.,日本、インドネシア,10m,15~15mm,体は緑褐色で白色の小突起が全体に散在し、それぞれ放射状の白色線をもつ。頭楯の半ばと側足縁に赤色の斑紋がある。頭楯半ばと後縁、尾には体を横断する淡色の色域がある。15mmに達する。
アオフチキセワタ,Tubulophilinopsis gardineri,インド-太平洋,16m,35~35mm,体は黒色で、頭楯後縁には白色または黄色線があるが、欠くこともある。側足から尾は青色細線で縁取られる。頭楯前部は縦に細く立ち上がり、先端近くに眼を視認することもある。35mmに達する。
