和名,学名,分布,深さ,体長,description
シラライロウミウシ,Goniobranchus tumuliferus,西太平洋,1m,8~40mm,背面は白みを帯びた半透明で、紫色の小斑紋が散在する。背面周縁は外側から白色、黄色の色帯で縁取られる。鰓と触角は白色。40mmに達する。
シロウミウシ,Goniobranchus orientalis,西太平洋,15m,40~40mm,背面は白色で黒色小円斑を散布する。背面周縁は黄色で縁取られる。鰓葉と触角鰓葉は黄色。40mmに達する。
キカモヨウウミウシ,Goniobranchus geometricus,インド-西太平洋,12m,25~40mm,背面は先端が白色のイボ状突起で覆われ、その間に網目状の黒褐色線が入る。触角と鰓の上半分は緑色。外套膜前縁を打ちふるいながら移動する。よく似たコイボウミウシとの、双方とも有毒なミューラー型擬態と思われる。40mmに達する。
カトウイロウミウシ,Goniobranchus katoi,日本,15m,10~10mm,背面は白みを帯びた半透明で、橙赤色の縦線が多数走る。この縦線は南西諸島産ではほぼ平行であるが本州産ではやや乱れる。背面周縁は黄色から橙黄色で縁取られる。触角と鰓は青紫色。10mm程度。
ヒャクメウミウシ,Goniobranchus sp.1,インド-太平洋,7m,30~55mm,体は白色。背面は橙赤色で周縁部では赤色細点になり、その外側に赤色紋が並ぶ。背面縁は暗黄色または黄色で縁取られる。背面には白色で囲まれた赤色の眼紋が散在する。鰓葉の内側の下部1/2が白色。触角褶葉は黄土色で褶葉縁も同色。55mmに達する。
オオゼキイロウミウシ,Goniobranchus sp.2,西太平洋,15m,50~75mm,背面は赤褐色や淡黄褐色の大きな斑紋に覆われ、その上に白色細点が密に散布する。背面周縁には紫色と黄色の小斑紋が重なりながら並ぶ。背面表面は円錐形の突起で覆われる。鰓は褐色で外側の軸が白色。触角褶葉は白色点が並ぶ。75mmに達する。
ウスクレナイウミウシ,Goniobranchus sp.3,西太平洋、中部太平洋,7m,7~15mm,背面はピンク色で濃淡の変異がある。背面周縁は外側から橙黄色、黄色、太い白色帯で縁取られる。触角と鰓は橙色で白色細点を散布する。15mmに達する。
スケイロウミウシ,Goniobranchus sp.4,西太平洋、中部太平洋,8m,10~20mm,背面は白みや黄色みを帯びた半透明で、淡い橙色点を散布する。また背面には白色の網目模様が散在し、背面周縁は淡い黄色になる。触角と鰓は半透明。小型個体では橙色や黄色の色素を欠く。20mmに達する。
ワタグモウミウシ,Goniobranchus sp.5,西太平洋,17m,13~20mm,背面は紫色を帯びた灰色で細かな網目状を呈し、放射状の線をもつ突起が数個ある。触角は上部に赤色の斜めの輪をもつ。鰓は先端がわずかに赤染する。本種の背面は灰色一色であり、紫色の斑紋を有することはない。20mmに達する。
レンゲウミウシ,Mexichromis multituberculata,西太平洋,17m,22~30mm,背面は白色から黄白色で円錐状の突起が多数あり、先端は紫色。背面周縁は橙色の色帯が連続または断続したり、紫色の色帯が断続する。触角は紫色。鰓は軸の上部が紫色。色彩の変異は多い。30mmに達する。
